"|","question","department","relevance"
"5w1","A empresa tem meta de rentabilidade (divisão do lucro líquido pelo patrimônio líquido)? A rentabilidade está abaixo, acima ou igual à meta estabelecida?","financeira","true"
"5w2","A empresa tem meta para a margem de vendas (divisão do lucro líquido pelas vendas líquidas)? A margem de vendas está abaixo, acima ou igual à meta estabelecida?","financeira","false"
"5w3","A empresa tem meta para o crescimento das vendas (evolução da receita líquida das vendas em reais, descontada a inflação)? O crescimento das vendas está abaixo, acima ou igual à meta estabelecida?","financeira","false"
"5w4","A empresa tem meta para a liquidez corrente (divisão do ativo circulante pelo passivo circulante)? A liquidez corrente está abaixo, acima ou igual à meta estabelecida?","financeira","false"
"5w5","A empresa tem meta para o índice de liquidez geral (relação entre os recursos da empresa que não estão “imobilizados” e o total da sua dívida – divisão da soma do ativo circulante mais o realizável no longo prazo pela soma do exigível total)? O índice é menor ou maior que 1,0? (sendo menor, se prevê medidas de ajuste).","financeira","false"
"5w6","A empresa tem meta para a riqueza criada por colaborador (produtividade da mão de obra – resultado da diferença entre o total das receitas menos o valor total dos insumos empregados na produção, dividida pelo total de empregados)? A riqueza criada está abaixo, acima ou igual à meta estabelecida?","financeira","false"
"5w7","Há na empresa um clima organizacional positivo, amistoso e colaborativo?","recursos humanos","true"
"5w8","Índices como turnover, absenteísmo, afastamentos e acidentes são monitorados e possuem política de prevenção e controle?","recursos humanos","false"
"5w9","Qual o grau de satisfação da vizinhança com a operação da empresa? Existe queixa formal contra a empresa?","gestão estratégica","false"
"5w10","A empresa possui um bom relacionamento com a comunidade do seu entorno? Tem iniciativas na promoção de atividades sociais e comunitárias?","gestão estratégica","false"
"5w11","A empresa possui Balanço Social das suas atividades?","gestão estratégica","false"
"5w12","A empresa está atenta as questões de sustentabilidade (ambiental, social e econômica)? Ela considera essas questões na tomada de decisões?","gestão estratégica","true"
